        Low
EMPLOYEE_ID FIRST_NAME LAST_NAME EMAIL PHONE_NUMBER HIRE_DATE JOB_ID SALARY High
198 Donald OConnell DOCONNEL 650.507.9833 21-JUN-07 SH_CLERK 2600 Low
199 Douglas Grant DGRANT 650.507.9844 13-JAN-08 SH_CLERK 2600 Low
200 Jennifer Whalen JWHALEN 515.123.4444 17-SEP-03 AD_ASST 4400 Low
201 Michael Hartstein MHARTSTE 515.123.5555 17-FEB-04 MK_MAN 13000 High
202 Pat Fay PFAY 603.123.6666 17-AUG-05 MK_REP 6000 Low
203 Susan Mavris SMAVRIS 515.123.7777 07-JUN-02 HR_REP 6500 Low
204 Hermann Baer HBAER 515.123.8888 07-JUN-02 PR_REP 10000 Low
205 Shelley Higgins SHIGGINS 515.123.8080 07-JUN-02 AC_MGR 12008 High
206 William Gietz WGIETZ 515.123.8181 07-JUN-02 AC_ACCOUNT 8300 Low
        Low
100 Steven King SKING 515.123.4567 17-JUN-03 AD_PRES 24000 High
101 Neena Kochhar NKOCHHAR 515.123.4568 21-SEP-05 AD_VP 17000 High
102 Lex De Haan LDEHAAN 515.123.4569 13-JAN-01 AD_VP 17000 High
103 Alexander Hunold AHUNOLD 590.423.4567 03-JAN-06 IT_PROG 9000 Low
104 Bruce Ernst BERNST 590.423.4568 21-MAY-07 IT_PROG 6000 Low
105 David Austin DAUSTIN 590.423.4569 25-JUN-05 IT_PROG 4800 Low
106 Valli Pataballa VPATABAL 590.423.4560 05-FEB-06 IT_PROG 4800 Low
107 Diana Lorentz DLORENTZ 590.423.5567 07-FEB-07 IT_PROG 4200 Low
108 Nancy Greenberg NGREENBE 515.124.4569 17-AUG-02 FI_MGR 12008 High
109 Daniel Faviet DFAVIET 515.124.4169 16-AUG-02 FI_ACCOUNT 9000 Low
110 John Chen JCHEN 515.124.4269 28-SEP-05 FI_ACCOUNT 8200 Low
111 Ismael Sciarra ISCIARRA 515.124.4369 30-SEP-05 FI_ACCOUNT 7700 Low
112 Jose Manuel Urman JMURMAN 515.124.4469 07-MAR-06 FI_ACCOUNT 7800 Low
